X_id,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,ObjectId,geometry
391,4934653,2013,D12,Other,2013-05-24T00:00:00,111,Rockcliffe-Smythe (111),391,"{'type': 'MultiPoint', 'coordinates': [[-79.48210041, 43.68063272]]}"
392,5237175,2013,D52,Stabbing,2013-10-06T00:00:00,76,Bay Street Corridor (76),392,"{'type': 'MultiPoint', 'coordinates': [[-79.38461112, 43.65044055]]}"
393,5229819,2013,D52,Other,2013-10-20T00:00:00,78,Kensington-Chinatown (78),393,"{'type': 'MultiPoint', 'coordinates': [[-79.39888675, 43.65513745]]}"
394,GO-20135070453,2013,D51,Other,2013-11-01T00:00:00,72,Regent Park (72),394,"{'type': 'MultiPoint', 'coordinates': [[-79.36371778, 43.65992508]]}"
395,GO-2013939200,2013,D13,Other,2013-11-09T00:00:00,94,Wychwood (94),395,"{'type': 'MultiPoint', 'coordinates': [[-79.42234432, 43.67383716]]}"
396,GO-2013943773,2013,D55,Shooting,2013-11-10T00:00:00,63,The Beaches (63),396,"{'type': 'MultiPoint', 'coordinates': [[-79.29798392, 43.67888482]]}"
397,GO-20131036741,2013,D32,Stabbing,2013-11-25T00:00:00,105,Lawrence Park North (105),397,"{'type': 'MultiPoint', 'coordinates': [[-79.39523369, 43.73016865]]}"
398,GO-20131225193,2013,D12,Other,2013-12-26T00:00:00,23,Pelmo Park-Humberlea (23),398,"{'type': 'MultiPoint', 'coordinates': [[-79.51006322, 43.71151049]]}"
399,GO-20131231259,2013,D42,Other,2013-12-27T00:00:00,130,Milliken (130),399,"{'type': 'MultiPoint', 'coordinates': [[-79.27214942, 43.82427242]]}"
400,4832295,2013,D32,Other,2013-07-04T00:00:00,33,Clanton Park (33),400,"{'type': 'MultiPoint', 'coordinates': [[-79.45017637, 43.75306779]]}"
401,3795155,2010,D31,Other,2010-05-29T00:00:00,26,Downsview-Roding-CFB (26),401,"{'type': 'MultiPoint', 'coordinates': [[-79.51318036, 43.73938991]]}"
402,2520381,2008,D43,Shooting,2008-02-01T00:00:00,138,Eglinton East (138),402,"{'type': 'MultiPoint', 'coordinates': [[-79.24468, 43.74478793]]}"
403,1787320,2006,D52,Shooting,2006-10-27T00:00:00,77,Waterfront Communities-The Island (77),403,"{'type': 'MultiPoint', 'coordinates': [[-79.38658151, 43.64863773]]}"
404,4212793,2012,D11,Shooting,2012-01-27T00:00:00,83,Dufferin Grove (83),404,"{'type': 'MultiPoint', 'coordinates': [[-79.43726099, 43.65427761]]}"
405,4085703,2012,D32,Shooting,2012-02-20T00:00:00,38,Lansing-Westgate (38),405,"{'type': 'MultiPoint', 'coordinates': [[-79.42538364, 43.75746765]]}"
406,4085703,2012,D32,Shooting,2012-02-20T00:00:00,38,Lansing-Westgate (38),406,"{'type': 'MultiPoint', 'coordinates': [[-79.42538364, 43.75746765]]}"
407,4370907,2012,D42,Other,2012-02-29T00:00:00,117,L'Amoreaux (117),407,"{'type': 'MultiPoint', 'coordinates': [[-79.31518751, 43.78449038]]}"
408,4334336,2012,D32,Other,2012-03-11T00:00:00,51,Willowdale East (51),408,"{'type': 'MultiPoint', 'coordinates': [[-79.40930391, 43.766251]]}"
409,3844704,2010,D13,Stabbing,2010-06-12T00:00:00,96,Casa Loma (96),409,"{'type': 'MultiPoint', 'coordinates': [[-79.41581728, 43.68004828]]}"
410,4445252,2012,D22,Stabbing,2012-03-23T00:00:00,15,Kingsway South (15),410,"{'type': 'MultiPoint', 'coordinates': [[-79.51960669, 43.64940381]]}"
411,3662181,2010,D14,Other,2010-05-08T00:00:00,93,Dovercourt-Wallace Emerson-Junction (93),411,"{'type': 'MultiPoint', 'coordinates': [[-79.44340776, 43.66537166]]}"
412,3568162,2010,D11,Stabbing,2010-05-29T00:00:00,87,High Park-Swansea (87),412,"{'type': 'MultiPoint', 'coordinates': [[-79.47334347, 43.64042595]]}"
413,3711024,2010,D22,Other,2010-06-12T00:00:00,18,New Toronto (18),413,"{'type': 'MultiPoint', 'coordinates': [[-79.51181147, 43.59932753]]}"
414,3786264,2010,D23,Stabbing,2010-06-29T00:00:00,7,Willowridge-Martingrove-Richview (7),414,"{'type': 'MultiPoint', 'coordinates': [[-79.55861018, 43.69425151]]}"
415,3773164,2010,D12,Stabbing,2010-06-30T00:00:00,111,Rockcliffe-Smythe (111),415,"{'type': 'MultiPoint', 'coordinates': [[-79.50590482, 43.67610518]]}"
416,3776066,2010,D31,Shooting,2010-07-02T00:00:00,26,Downsview-Roding-CFB (26),416,"{'type': 'MultiPoint', 'coordinates': [[-79.48641178, 43.74477798]]}"
417,3771858,2010,D53,Stabbing,2010-07-02T00:00:00,95,Annex (95),417,"{'type': 'MultiPoint', 'coordinates': [[-79.40198145, 43.66838899]]}"
