ID,YEAR,DATE,DIVISION,HOMICIDE_TYPE,NEIGHBORHOOD,MONTH
4427513,2012,2012-07-19T00:00:00Z,D32,Shooting,Englemount-Lawrence (32),Jul
4528375,2012,2012-07-22T00:00:00Z,D42,Other,Bendale (127),Jul
4622186,2012,2012-08-01T00:00:00Z,D31,Shooting,Black Creek (24),Aug
4531897,2012,2012-08-07T00:00:00Z,D42,Other,Malvern (132),Aug
4613436,2012,2012-08-24T00:00:00Z,D55,Other,Clairlea-Birchmount (120),Aug
4528016,2012,2012-09-08T00:00:00Z,D42,Shooting,Malvern (132),Sep
4563307,2012,2012-09-08T00:00:00Z,D55,Shooting,The Beaches (63),Sep
4453311,2012,2012-09-16T00:00:00Z,D23,Shooting,Glenfield-Jane Heights (25),Sep
4520488,2012,2012-09-15T00:00:00Z,D13,Other,Briar Hill-Belgravia (108),Sep
4589405,2012,2012-09-18T00:00:00Z,D23,Shooting,Mount Olive-Silverstone-Jamestown (2),Sep
4589405,2012,2012-09-18T00:00:00Z,D23,Shooting,Mount Olive-Silverstone-Jamestown (2),Sep
4663461,2012,2012-10-11T00:00:00Z,D31,Shooting,Black Creek (24),Oct
4615172,2012,2012-10-17T00:00:00Z,D43,Other,Woburn (137),Oct
4477212,2012,2012-10-23T00:00:00Z,D51,Stabbing,Cabbagetown-South St.James Town (71),Oct
4703830,2012,2012-10-28T00:00:00Z,D43,Shooting,Morningside (135),Oct
4697103,2012,2012-10-29T00:00:00Z,D32,Shooting,Yorkdale-Glen Park (31),Oct
